,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
204,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),frozenset({'POSTAGE'}),0.043701799485861184,0.7712082262210797,0.02056555269922879,0.4705882352941176,0.6101960784313725,-0.013137634564931503,0.4321622393601828
205,frozenset({'POSTAGE'}),frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),0.7712082262210797,0.043701799485861184,0.02056555269922879,0.026666666666666665,0.6101960784313725,-0.013137634564931503,0.9824981512131563
9,frozenset({'POSTAGE'}),frozenset({'36 PENCILS TUBE RED RETROSPOT'}),0.7712082262210797,0.04627249357326478,0.02570694087403599,0.03333333333333333,0.7203703703703703,-0.009978786817427848,0.9866146618207605
8,frozenset({'36 PENCILS TUBE RED RETROSPOT'}),frozenset({'POSTAGE'}),0.04627249357326478,0.7712082262210797,0.02570694087403599,0.5555555555555556,0.7203703703703704,-0.009978786817427848,0.5147814910025709
479,frozenset({'CLOTHES PEGS RETROSPOT PACK 24'}),frozenset({'POSTAGE'}),0.04113110539845758,0.7712082262210797,0.02313624678663239,0.5625,0.729375,-0.008584400050224351,0.5229526257803894
771,frozenset({'LONDON BUS COFFEE MUG'}),frozenset({'POSTAGE'}),0.04113110539845758,0.7712082262210797,0.02313624678663239,0.5625,0.729375,-0.008584400050224351,0.5229526257803894
863,frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'POSTAGE'}),0.04113110539845758,0.7712082262210797,0.02313624678663239,0.5625,0.729375,-0.008584400050224351,0.5229526257803894
1084,frozenset({'MAGNETS PACK OF 4 SWALLOWS'}),frozenset({'POSTAGE'}),0.04113110539845758,0.7712082262210797,0.02313624678663239,0.5625,0.729375,-0.008584400050224351,0.5229526257803894
1573,frozenset({'SPACEBOY BABY GIFT SET'}),frozenset({'POSTAGE'}),0.04113110539845758,0.7712082262210797,0.02313624678663239,0.5625,0.729375,-0.008584400050224351,0.5229526257803894
478,frozenset({'POSTAGE'}),frozenset({'CLOTHES PEGS RETROSPOT PACK 24'}),0.7712082262210797,0.04113110539845758,0.02313624678663239,0.030000000000000002,0.7293750000000001,-0.008584400050224351,0.9885246336098376
770,frozenset({'POSTAGE'}),frozenset({'LONDON BUS COFFEE MUG'}),0.7712082262210797,0.04113110539845758,0.02313624678663239,0.030000000000000002,0.7293750000000001,-0.008584400050224351,0.9885246336098376
862,frozenset({'POSTAGE'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.7712082262210797,0.04113110539845758,0.02313624678663239,0.030000000000000002,0.7293750000000001,-0.008584400050224351,0.9885246336098376
1085,frozenset({'POSTAGE'}),frozenset({'MAGNETS PACK OF 4 SWALLOWS'}),0.7712082262210797,0.04113110539845758,0.02313624678663239,0.030000000000000002,0.7293750000000001,-0.008584400050224351,0.9885246336098376
1572,frozenset({'POSTAGE'}),frozenset({'SPACEBOY BABY GIFT SET'}),0.7712082262210797,0.04113110539845758,0.02313624678663239,0.030000000000000002,0.7293750000000001,-0.008584400050224351,0.9885246336098376
1449,"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})",frozenset({'POSTAGE'}),0.03598971722365039,0.7712082262210797,0.02056555269922879,0.5714285714285714,0.7409523809523809,-0.007190013283020866,0.5338474721508141
1448,frozenset({'POSTAGE'}),"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})",0.7712082262210797,0.03598971722365039,0.02056555269922879,0.026666666666666665,0.7409523809523809,-0.007190013283020866,0.9904215234003592
1440,frozenset({'POSTAGE'}),"frozenset({""POPPY'S PLAYHOUSE BEDROOM""})",0.7712082262210797,0.043701799485861184,0.02570694087403599,0.03333333333333333,0.7627450980392156,-0.007996246390124303,0.9892740005318678
1604,frozenset({'POSTAGE'}),frozenset({'WATERING CAN BLUE ELEPHANT'}),0.7712082262210797,0.043701799485861184,0.02570694087403599,0.03333333333333333,0.7627450980392156,-0.007996246390124303,0.9892740005318678
1441,"frozenset({""POPPY'S PLAYHOUSE BEDROOM""})",frozenset({'POSTAGE'}),0.043701799485861184,0.7712082262210797,0.02570694087403599,0.5882352941176471,0.7627450980392158,-0.007996246390124303,0.5556371648916637
1605,frozenset({'WATERING CAN BLUE ELEPHANT'}),frozenset({'POSTAGE'}),0.043701799485861184,0.7712082262210797,0.02570694087403599,0.5882352941176471,0.7627450980392158,-0.007996246390124303,0.5556371648916637
590,frozenset({'POSTAGE'}),frozenset({'FELTCRAFT PRINCESS LOLA DOLL'}),0.7712082262210797,0.033419023136246784,0.02056555269922879,0.026666666666666665,0.7979487179487179,-0.005207472855717314,0.9930626474627601
591,frozenset({'FELTCRAFT PRINCESS LOLA DOLL'}),frozenset({'POSTAGE'}),0.033419023136246784,0.7712082262210797,0.02056555269922879,0.6153846153846154,0.797948717948718,-0.005207472855717314,0.594858611825193
852,frozenset({'LUNCH BAG DOLLY GIRL DESIGN'}),frozenset({'POSTAGE'}),0.08483290488431877,0.7712082262210797,0.05398457583547558,0.6363636363636364,0.8251515151515152,-0.011439258265541465,0.629177377892031
853,frozenset({'POSTAGE'}),frozenset({'LUNCH BAG DOLLY GIRL DESIGN'}),0.7712082262210797,0.08483290488431877,0.05398457583547558,0.07,0.8251515151515152,-0.011439258265541465,0.9840506399093346
256,frozenset({'BLUE HARMONICA IN BOX'}),frozenset({'POSTAGE'}),0.05141388174807198,0.7712082262210797,0.033419023136246784,0.6499999999999999,0.8428333333333332,-0.00623178540982415,0.6536907822254866
257,frozenset({'POSTAGE'}),frozenset({'BLUE HARMONICA IN BOX'}),0.7712082262210797,0.05141388174807198,0.033419023136246784,0.043333333333333335,0.8428333333333333,-0.00623178540982415,0.9915534337128168
631,frozenset({'POSTAGE'}),frozenset({'JAM MAKING SET WITH JARS'}),0.7712082262210797,0.030848329048843187,0.02056555269922879,0.026666666666666665,0.8644444444444443,-0.0032249324284137695,0.9957037715251611
1531,frozenset({'POSTAGE'}),frozenset({'SET OF 6 SOLDIER SKITTLES'}),0.7712082262210797,0.030848329048843187,0.02056555269922879,0.026666666666666665,0.8644444444444443,-0.0032249324284137695,0.9957037715251611
1473,frozenset({'RED RETROSPOT CHILDRENS UMBRELLA'}),frozenset({'POSTAGE'}),0.06940874035989718,0.7712082262210797,0.04627249357326478,0.6666666666666666,0.8644444444444445,-0.007256097963930987,0.6863753213367609
1472,frozenset({'POSTAGE'}),frozenset({'RED RETROSPOT CHILDRENS UMBRELLA'}),0.7712082262210797,0.06940874035989718,0.04627249357326478,0.060000000000000005,0.8644444444444445,-0.007256097963930987,0.9899907017447903
630,frozenset({'JAM MAKING SET WITH JARS'}),frozenset({'POSTAGE'}),0.030848329048843187,0.7712082262210797,0.02056555269922879,0.6666666666666666,0.8644444444444445,-0.0032249324284137695,0.6863753213367609
1530,frozenset({'SET OF 6 SOLDIER SKITTLES'}),frozenset({'POSTAGE'}),0.030848329048843187,0.7712082262210797,0.02056555269922879,0.6666666666666666,0.8644444444444445,-0.0032249324284137695,0.6863753213367609
