,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
204,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),frozenset({'POSTAGE'}),0.043701799485861184,0.7712082262210797,0.02056555269922879,0.4705882352941176,0.6101960784313725,-0.013137634564931503,0.4321622393601828
205,frozenset({'POSTAGE'}),frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),0.7712082262210797,0.043701799485861184,0.02056555269922879,0.026666666666666665,0.6101960784313725,-0.013137634564931503,0.9824981512131563
4474,"frozenset({'LUNCH BAG RED RETROSPOT', 'LUNCH BAG DOLLY GIRL DESIGN'})",frozenset({'POSTAGE'}),0.043701799485861184,0.7712082262210797,0.02313624678663239,0.5294117647058824,0.6864705882352942,-0.010566940477527903,0.4861825192802057
4479,frozenset({'POSTAGE'}),"frozenset({'LUNCH BAG RED RETROSPOT', 'LUNCH BAG DOLLY GIRL DESIGN'})",0.7712082262210797,0.043701799485861184,0.02313624678663239,0.030000000000000002,0.6864705882352942,-0.010566940477527903,0.9858744335197308
3566,frozenset({'POSTAGE'}),"frozenset({'LUNCH BAG RED RETROSPOT', 'DOLLY GIRL LUNCH BOX'})",0.7712082262210797,0.038560411311053984,0.02056555269922879,0.026666666666666665,0.6915555555555555,-0.00917255371032441,0.9877803993379581
6596,frozenset({'POSTAGE'}),"frozenset({""POPPY'S PLAYHOUSE KITCHEN"", ""POPPY'S PLAYHOUSE BEDROOM""})",0.7712082262210797,0.038560411311053984,0.02056555269922879,0.026666666666666665,0.6915555555555555,-0.00917255371032441,0.9877803993379581
3563,"frozenset({'LUNCH BAG RED RETROSPOT', 'DOLLY GIRL LUNCH BOX'})",frozenset({'POSTAGE'}),0.038560411311053984,0.7712082262210797,0.02056555269922879,0.5333333333333333,0.6915555555555556,-0.00917255371032441,0.49026808666911503
6593,"frozenset({""POPPY'S PLAYHOUSE KITCHEN"", ""POPPY'S PLAYHOUSE BEDROOM""})",frozenset({'POSTAGE'}),0.038560411311053984,0.7712082262210797,0.02056555269922879,0.5333333333333333,0.6915555555555556,-0.00917255371032441,0.49026808666911503
9,frozenset({'POSTAGE'}),frozenset({'36 PENCILS TUBE RED RETROSPOT'}),0.7712082262210797,0.04627249357326478,0.02570694087403599,0.03333333333333333,0.7203703703703703,-0.009978786817427848,0.9866146618207605
8,frozenset({'36 PENCILS TUBE RED RETROSPOT'}),frozenset({'POSTAGE'}),0.04627249357326478,0.7712082262210797,0.02570694087403599,0.5555555555555556,0.7203703703703704,-0.009978786817427848,0.5147814910025709
479,frozenset({'CLOTHES PEGS RETROSPOT PACK 24'}),frozenset({'POSTAGE'}),0.04113110539845758,0.7712082262210797,0.02313624678663239,0.5625,0.729375,-0.008584400050224351,0.5229526257803894
771,frozenset({'LONDON BUS COFFEE MUG'}),frozenset({'POSTAGE'}),0.04113110539845758,0.7712082262210797,0.02313624678663239,0.5625,0.729375,-0.008584400050224351,0.5229526257803894
863,frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'POSTAGE'}),0.04113110539845758,0.7712082262210797,0.02313624678663239,0.5625,0.729375,-0.008584400050224351,0.5229526257803894
1084,frozenset({'MAGNETS PACK OF 4 SWALLOWS'}),frozenset({'POSTAGE'}),0.04113110539845758,0.7712082262210797,0.02313624678663239,0.5625,0.729375,-0.008584400050224351,0.5229526257803894
1573,frozenset({'SPACEBOY BABY GIFT SET'}),frozenset({'POSTAGE'}),0.04113110539845758,0.7712082262210797,0.02313624678663239,0.5625,0.729375,-0.008584400050224351,0.5229526257803894
478,frozenset({'POSTAGE'}),frozenset({'CLOTHES PEGS RETROSPOT PACK 24'}),0.7712082262210797,0.04113110539845758,0.02313624678663239,0.030000000000000002,0.7293750000000001,-0.008584400050224351,0.9885246336098376
770,frozenset({'POSTAGE'}),frozenset({'LONDON BUS COFFEE MUG'}),0.7712082262210797,0.04113110539845758,0.02313624678663239,0.030000000000000002,0.7293750000000001,-0.008584400050224351,0.9885246336098376
862,frozenset({'POSTAGE'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.7712082262210797,0.04113110539845758,0.02313624678663239,0.030000000000000002,0.7293750000000001,-0.008584400050224351,0.9885246336098376
1085,frozenset({'POSTAGE'}),frozenset({'MAGNETS PACK OF 4 SWALLOWS'}),0.7712082262210797,0.04113110539845758,0.02313624678663239,0.030000000000000002,0.7293750000000001,-0.008584400050224351,0.9885246336098376
1572,frozenset({'POSTAGE'}),frozenset({'SPACEBOY BABY GIFT SET'}),0.7712082262210797,0.04113110539845758,0.02313624678663239,0.030000000000000002,0.7293750000000001,-0.008584400050224351,0.9885246336098376
1449,"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})",frozenset({'POSTAGE'}),0.03598971722365039,0.7712082262210797,0.02056555269922879,0.5714285714285714,0.7409523809523809,-0.007190013283020866,0.5338474721508141
1448,frozenset({'POSTAGE'}),"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})",0.7712082262210797,0.03598971722365039,0.02056555269922879,0.026666666666666665,0.7409523809523809,-0.007190013283020866,0.9904215234003592
1440,frozenset({'POSTAGE'}),"frozenset({""POPPY'S PLAYHOUSE BEDROOM""})",0.7712082262210797,0.043701799485861184,0.02570694087403599,0.03333333333333333,0.7627450980392156,-0.007996246390124303,0.9892740005318678
1604,frozenset({'POSTAGE'}),frozenset({'WATERING CAN BLUE ELEPHANT'}),0.7712082262210797,0.043701799485861184,0.02570694087403599,0.03333333333333333,0.7627450980392156,-0.007996246390124303,0.9892740005318678
1441,"frozenset({""POPPY'S PLAYHOUSE BEDROOM""})",frozenset({'POSTAGE'}),0.043701799485861184,0.7712082262210797,0.02570694087403599,0.5882352941176471,0.7627450980392158,-0.007996246390124303,0.5556371648916637
1605,frozenset({'WATERING CAN BLUE ELEPHANT'}),frozenset({'POSTAGE'}),0.043701799485861184,0.7712082262210797,0.02570694087403599,0.5882352941176471,0.7627450980392158,-0.007996246390124303,0.5556371648916637
4546,"frozenset({'SPACEBOY LUNCH BOX', 'LUNCH BAG DOLLY GIRL DESIGN'})",frozenset({'POSTAGE'}),0.04627249357326478,0.7712082262210797,0.028277634961439587,0.611111111111111,0.7924074074074073,-0.007408092730024251,0.5883217040029379
4551,frozenset({'POSTAGE'}),"frozenset({'SPACEBOY LUNCH BOX', 'LUNCH BAG DOLLY GIRL DESIGN'})",0.7712082262210797,0.04627249357326478,0.028277634961439587,0.03666666666666667,0.7924074074074074,-0.007408092730024251,0.9900285533841542
590,frozenset({'POSTAGE'}),frozenset({'FELTCRAFT PRINCESS LOLA DOLL'}),0.7712082262210797,0.033419023136246784,0.02056555269922879,0.026666666666666665,0.7979487179487179,-0.005207472855717314,0.9930626474627601
2186,frozenset({'POSTAGE'}),"frozenset({'ALARM CLOCK BAKELIKE GREEN', 'PLASTERS IN TIN CIRCUS PARADE'})",0.7712082262210797,0.033419023136246784,0.02056555269922879,0.026666666666666665,0.7979487179487179,-0.005207472855717314,0.9930626474627601
